P (MPa),T (°C),v (m³/kg),u (kJ/kg),h (kJ/kg),s (kJ/kg·K)
1.40,60,0.015005,264.46,285.47,0.9389
1.40,70,0.016060,274.62,297.10,0.9733
1.40,80,0.017023,284.51,308.34,1.0056
1.40,90,0.017923,294.28,319.37,1.0364
1.40,100,0.018778,304.04,330.30,1.0661
1.40,110,0.019597,313.76,341.19,1.0949
1.40,120,0.020388,323.55,352.09,1.1230
1.40,130,0.021155,333.41,363.02,1.1504
1.40,140,0.021904,343.37,374.01,1.1773
1.40,150,0.022636,353.37,385.07,1.2038
1.40,160,0.023355,363.51,396.20,1.2298
1.40,170,0.024061,373.75,407.43,1.2554
1.40,180,0.024757,384.12,418.78,1.2808
1.60,Sat.,0.012134,258.50,277.92,0.9080
1.60,60,0.012372,260.91,280.71,0.9164
1.60,70,0.013430,271.78,293.27,0.9536
1.60,80,0.014362,282.11,305.09,0.9875
1.60,90,0.015215,292.19,316.53,1.0195
1.60,100,0.016014,302.16,327.78,1.0501
1.60,110,0.016773,312.09,338.93,1.0795
1.60,120,0.017500,322.02,350.03,1.1081
1.60,130,0.018201,332.02,361.14,1.1360
1.60,140,0.018882,342.06,372.27,1.1633
1.60,150,0.019545,352.19,383.46,1.1901
1.60,160,0.020194,362.40,394.71,1.2164
1.60,170,0.020830,372.71,406.04,1.2422
1.60,180,0.021456,383.13,417.46,1.2677
